mode,n,m,instance,seed,algorithm,makespan,optimal_makespan,ratio,runtime_seconds
unidirectional,5,30,31,55057,ILP,22,22,1.0,0.005521654000403942
unidirectional,5,30,31,55057,REC,22,22,1.0,0.000172597998243873
unidirectional,5,30,31,55057,Heap-Based,22,22,1.0,9.457099986320827e-05
unidirectional,5,30,32,55058,ILP,31,31,1.0,0.012125302000640659
unidirectional,5,30,32,55058,REC,31,31,1.0,0.000262601999565959
unidirectional,5,30,32,55058,Heap-Based,31,31,1.0,0.00020442999993974809
unidirectional,5,40,0,56026,ILP,39,39,1.0,0.006796878000386641
unidirectional,5,40,0,56026,REC,39,39,1.0,0.00027417300043452997
unidirectional,5,40,0,56026,Heap-Based,39,39,1.0,0.00018043800082523376
unidirectional,5,40,1,56027,ILP,32,32,1.0,0.009403171001395094
unidirectional,5,40,1,56027,REC,32,32,1.0,0.00029573099891422316
unidirectional,5,40,1,56027,Heap-Based,32,32,1.0,0.00019699900076375343
unidirectional,5,40,2,56028,ILP,37,37,1.0,0.00795948000086355
unidirectional,5,40,2,56028,REC,37,37,1.0,0.0002766430006886367
unidirectional,5,40,2,56028,Heap-Based,37,37,1.0,0.00020570100059558172
unidirectional,5,40,3,56029,ILP,36,36,1.0,0.011195245000635623
unidirectional,5,40,3,56029,REC,36,36,1.0,0.00033000300027197227
unidirectional,5,40,3,56029,Heap-Based,36,36,1.0,0.00022854400049254764
unidirectional,5,40,4,56030,ILP,36,36,1.0,0.012033323999276035
unidirectional,5,40,4,56030,REC,36,36,1.0,0.00035524200029612985
unidirectional,5,40,4,56030,Heap-Based,36,36,1.0,0.0002525059990148293
unidirectional,5,40,5,56031,ILP,39,39,1.0,0.019656178999866825
unidirectional,5,40,5,56031,REC,39,39,1.0,0.0003824559989880072
unidirectional,5,40,5,56031,Heap-Based,39,39,1.0,0.0002974989984068088
unidirectional,5,40,6,56032,ILP,40,40,1.0,0.00686622299872397
unidirectional,5,40,6,56032,REC,40,40,1.0,0.0002579529991635354
unidirectional,5,40,6,56032,Heap-Based,40,40,1.0,0.00018397799976810347
unidirectional,5,40,7,56033,ILP,31,31,1.0,0.009536593999655452
unidirectional,5,40,7,56033,REC,31,31,1.0,0.0002996299990627449
unidirectional,5,40,7,56033,Heap-Based,31,31,1.0,0.00020552400019369088
unidirectional,5,40,8,56034,ILP,28,28,1.0,0.008742608999455115
unidirectional,5,40,8,56034,REC,28,28,1.0,0.0002845600010914495
unidirectional,5,40,8,56034,Heap-Based,28,28,1.0,0.0001737059992592549
unidirectional,5,40,9,56035,ILP,27,27,1.0,0.005678428999090102
unidirectional,5,40,9,56035,REC,27,27,1.0,0.00021779300004709512
unidirectional,5,40,9,56035,Heap-Based,27,27,1.0,0.0001084790001186775
unidirectional,5,40,10,56036,ILP,35,35,1.0,0.00956529699942621
unidirectional,5,40,10,56036,REC,35,35,1.0,0.0003004299996973714
unidirectional,5,40,10,56036,Heap-Based,35,35,1.0,0.00019707600040419493
unidirectional,5,40,11,56037,ILP,37,37,1.0,0.0064817109996511135
unidirectional,5,40,11,56037,REC,37,37,1.0,0.0002623069995024707
unidirectional,5,40,11,56037,Heap-Based,37,37,1.0,0.00017235100131074432
unidirectional,5,40,12,56038,ILP,39,39,1.0,0.02057097800025076
unidirectional,5,40,12,56038,REC,39,39,1.0,0.0003431740005908068
unidirectional,5,40,12,56038,Heap-Based,39,39,1.0,0.00026578500001051
unidirectional,5,40,13,56039,ILP,33,33,1.0,0.012295638998693903
unidirectional,5,40,13,56039,REC,33,33,1.0,0.00030256199897849
unidirectional,5,40,13,56039,Heap-Based,33,33,1.0,0.00020574600057443604
unidirectional,5,40,14,56040,ILP,19,19,1.0,0.005893626001125085
unidirectional,5,40,14,56040,REC,19,19,1.0,0.00017222799942828715
unidirectional,5,40,14,56040,Heap-Based,19,19,1.0,6.854099956399295e-05
unidirectional,5,40,15,56041,ILP,38,38,1.0,0.01856971400047769
unidirectional,5,40,15,56041,REC,38,38,1.0,0.00034775600033754017
unidirectional,5,40,15,56041,Heap-Based,38,38,1.0,0.00026786700072989333
unidirectional,5,40,16,56042,ILP,44,44,1.0,0.009001467000416596
unidirectional,5,40,16,56042,REC,44,44,1.0,0.0003671489994303556
unidirectional,5,40,16,56042,Heap-Based,44,44,1.0,0.00031014499836601317
unidirectional,5,40,17,56043,ILP,40,40,1.0,0.009523403999992297
unidirectional,5,40,17,56043,REC,40,40,1.0,0.0003254999992350349
unidirectional,5,40,17,56043,Heap-Based,40,40,1.0,0.00026564499967207666
unidirectional,5,40,18,56044,ILP,38,38,1.0,0.012581826000314322
unidirectional,5,40,18,56044,REC,38,38,1.0,0.0003892540007655043
unidirectional,5,40,18,56044,Heap-Based,38,38,1.0,0.00027178199889021926
unidirectional,5,40,19,56045,ILP,37,37,1.0,0.014750079999430454
unidirectional,5,40,19,56045,REC,37,37,1.0,0.00037732900091214105
unidirectional,5,40,19,56045,Heap-Based,37,37,1.0,0.0002932999996119179
unidirectional,5,40,20,56046,ILP,38,38,1.0,0.00915014200108999
unidirectional,5,40,20,56046,REC,38,38,1.0,0.000279586000033305
unidirectional,5,40,20,56046,Heap-Based,38,38,1.0,0.00019052000061492436
unidirectional,5,40,21,56047,ILP,39,39,1.0,0.01266253599897027
unidirectional,5,40,21,56047,REC,39,39,1.0,0.00036452200038183946
unidirectional,5,40,21,56047,Heap-Based,39,39,1.0,0.00026669599901651964
unidirectional,5,40,22,56048,ILP,23,23,1.0,0.0064698860005592
unidirectional,5,40,22,56048,REC,23,23,1.0,0.0002502999996067956
unidirectional,5,40,22,56048,Heap-Based,23,23,1.0,0.00013337100062926766
